SNR,Number,Nonword,Pronunciation,Correct1/Wrong0
25,1,fup,F AH P,
25,2,sint,S IH N T,
25,3,brimb,B R AY M B,
25,4,sku,S K UW,
25,5,rire,R AY R,
25,6,cang,K AE NG,
25,7,ipe,AY P,
25,8,loy,L OY,
25,9,danch,D AE N CH,
25,10,tield,T IY L D,
25,11,fanver,F AE N V ER,
25,12,reet,R IY T,
25,13,piff,P IH F,
25,14,coslee,K AO Z L IY,
25,15,loacher,L OW CH ER,
25,16,glong,G L AO NG,
25,17,rell,R EH L,
25,18,dokly,D AA K L IY,
25,19,wifter,W IH F T ER,
25,20,libes,L AY B Z,
20,1,sother,S AH DH ER,
20,2,boused,B AW Z D,
20,3,stitty,S T IH T IY,
20,4,rin,R IH N,
20,5,claber,K L EY B ER,
20,6,hibe,HH AY B,
20,7,deat,D IY T,
20,8,mide,M AY D,
20,9,cruther,K R AH DH ER,
20,10,strist,S T R IH S T,
20,11,cring,K R IH NG,
20,12,plake,P L EY K,
20,13,paunt,P AO N T,
20,14,prouple,P R AW P AH L,
20,15,lun,L AH N,
20,16,gread,G R EH D,
20,17,dife,D AY F,
20,18,dast,D AE S T,
20,19,thusk,TH AH S K,
20,20,leb,L EH B,
15,1,brean,B R IY N,
15,2,boof,B UW F,
15,3,mon,M AH N,
15,4,dappy,D AE P IY,
15,5,pou,P AW,
15,6,cheeve,CH IY V,
15,7,tuve,T UW V,
15,8,telon,T EH L AA N,
15,9,rall,R AO L,
15,10,preep,P R IY P,
15,11,narcous,N AA R K AH S,
15,12,wamps,W AE M P S,
15,13,crut,K R AH T,
15,14,tosive,T AH S AY V,
15,15,lub,L AH B,
15,16,osan,OW Z AH N,
15,17,screet,S K R IY T,
15,18,larsh,L AA R SH,
15,19,squee,S K W IY,
15,20,bap,B AE P,
10,1,fow,F AW,
10,2,staleen,S T EH IH L IY N,
10,3,cangy,K AE NG IY,
10,4,stath,S T AE TH,
10,5,scolet,S K OW L EH T,
10,6,clanch,K L AE N CH,
10,7,hamby,HH AE M B IY,
10,8,plive,P L AY V,
10,9,driss,D R IH S,
10,10,tafes,T EY F S,
10,11,gade,G EY D,
10,12,rean,R IY N,
10,13,heak,HH IY K,
10,14,trony,T R OW N IY,
10,15,feam,F IY M,
10,16,plue,P L UW,
10,17,gake,G EY K,
10,18,pab,P AE B,
10,19,rilk,R IH L K,
10,20,clote,K L OW T,
5,1,priend,P R EH N D,
5,2,wrike,R AY K,
5,3,croom,K R UW M,
5,4,hink,HH IH NG K,
5,5,sush,S AH SH,
5,6,leller,L EH L ER,
5,7,cromp,K R AA M P,
5,8,wame,W EY M,
5,9,timel,T IH M AH L,
5,10,mour,M AW R,
5,11,drack,D R AE K,
5,12,wonny,W AH N IY,
5,13,stist,S T IH S T,
5,14,soat,S OW T,
5,15,trand,T R AE N D,
5,16,windax,W IH N D AE K S,
5,17,machent,M AE CH AH N T,
5,18,thow,TH OW,
5,19,konchen,K AA N CH AH N,
5,20,yark,Y AA R K,
0,1,pank,P AE NG K,
0,2,shirth,SH IH R TH,
0,3,cirthnay,S ER TH N EY,
0,4,harn,HH AA R N,
0,5,fowbet,F AW B EH T,
0,6,lont,L AA N T,
0,7,fawsh,F AO SH,
0,8,tweck,T W EH K,
0,9,skun,S K AH N,
0,10,tosey,T OW Z IY,
0,11,eam,IY M,
0,12,hote,HH OW T,
0,13,whike,W AY K,
0,14,fisker,F IH S K ER,
0,15,oadly,OW D L IY,
0,16,harf,HH AA R F,
0,17,lammer,L AE M ER,
0,18,shalp,SH AE L P,
0,19,glive,G L AY V,
0,20,cark,K AA R K,
