SNR,Number,Word,Pronunciation,Correct1/Wrong0
25,1,ice,AY S,
25,2,trash,T R AE SH,
25,3,brother,B R AH DH ER,
25,4,watch,W AA CH,
25,5,taste,T EY S T,
25,6,close,K L OW S,
25,7,ladder,L AE D ER,
25,8,pack,P AE K,
25,9,drive,D R AY V,
25,10,wave,W EY V,
25,11,gate,G EY T,
25,12,suck,S AH K,
25,13,street,S T R IY T,
25,14,dress,D R EH S,
25,15,move,M UW V,
25,16,kitchen,K IH CH AH N,
25,17,sweep,S W IY P,
25,18,forget,F ER G EH T,
25,19,white,W AY T,
25,20,machine,M AH SH IY N,
20,1,teacher,T IY CH ER,
20,2,card,K AA R D,
20,3,trouble,T R AH B AH L,
20,4,snow,S N OW,
20,5,cup,K AH P,
20,6,nervous,N ER V AH S,
20,7,game,G EY M,
20,8,rip,R IH P,
20,9,fire,F AY R,
20,10,worry,W ER IY,
20,11,dance,D AE N S,
20,12,shirt,SH ER T,
20,13,sell,S EH L,
20,14,silk,S IH L K,
20,15,puppy,P AH P IY,
20,16,leave,L IY V,
20,17,hair,HH EH R,
20,18,friend,F R EH N D,
20,19,wreck,R EH K,
20,20,paint,P EY N T,
15,1,carry,K EH R IY,
15,2,bounce,B AW N S,
15,3,pick,P IH K,
15,4,hill,HH IH L,
15,5,read,R IY D,
15,6,cross,K R AO S,
15,7,wall,W AO L,
15,8,team,T IY M,
15,9,sink,S IH NG K,
15,10,run,R AH N,
15,11,pie,P AY,
15,12,wrong,R AO NG,
15,13,farmer,F AA R M ER,
15,14,tub,T AH B,
15,15,open,OW P AH N,
15,16,player,P L EY ER,
15,17,sky,S K AY,
15,18,hour,AW R,
15,19,story,S T AO R IY,
15,20,bag,B AE G,
10,1,coffee,K AA F IY,
10,2,stick,S T IH K,
10,3,branch,B R AE N CH,
10,4,string,S T R IH NG,
10,5,station,S T EY SH AH N,
10,6,bread,B R EH D,
10,7,field,F IY L D,
10,8,high,HH AY,
10,9,cheese,CH IY Z,
10,10,three,TH R IY,
10,11,eat,IY T,
10,12,lemon,L EH M AH N,
10,13,finger,F IH NG G ER,
10,14,wife,W AY F,
10,15,climb,K L AY M,
10,16,leg,L EH G,
10,17,fast,F AE S T,
10,18,happy,HH AE P IY,
10,19,lose,L UW Z,
10,20,cake,K EY K,
5,1,light,L AY T,
5,2,waiter,W EY T ER,
5,3,cream,K R IY M,
5,4,pan,P AE N,
5,5,glove,G L AH V,
5,6,blue,B L UW,
5,7,book,B UH K,
5,8,sharp,SH AA R P,
5,9,sun,S AH N,
5,10,shut,SH AH T,
5,11,pretty,P R IH T IY,
5,12,letter,L EH T ER,
5,13,closet,K L AA Z AH T,
5,14,mother,M AH DH ER,
5,15,lot,L AA T,
5,16,ride,R AY D,
5,17,hole,HH OW L,
5,18,plate,P L EY T,
5,19,early,ER L IY,
5,20,wash,W AA SH,
0,1,thumb,TH AH M,
0,2,tonight,T AH N AY T,
0,3,black,B L AE K,
0,4,laugh,L AE F,
0,5,cow,K AW,
0,6,meat,M IY T,
0,7,clean,K L IY N,
0,8,birthday,B ER TH D EY,
0,9,write,R AY T,
0,10,towel,T AW AH L,
0,11,window,W IH N D OW,
0,12,bring,B R IH NG,
0,13,daily,D EY L IY,
0,14,lay,L EY,
0,15,yard,Y AA R D,
0,16,coat,K OW T,
0,17,stand,S T AE N D,
0,18,hard,HH AA R D,
0,19,leak,L IY K,
0,20,today,T AH D EY,
