SNR,List Number,Sentence Number,Sentence,Key Words,Correct Key Words
25,15,1,A house had nine bedrooms.  ,"House, nine, bedrooms",
25,15,2,They’re shopping for school clothes.  ,"shopping, school, clothes",
25,15,3,They’re playing in a park.  ,"playing, park",
25,15,4,Rain is good for the trees.  ,"rain, good, trees",
25,15,5,They sat on a wooden bench.  ,"Sat, wooden, bench",
25,15,6,A child drank some fresh milk.  ,"child, drank, milk",
25,15,7,A baby slept all night.  ,"Baby, slept, night",
20,20,1,A clown had a funny face.  ,"Clown, funny, face",
20,20,2,The bath water was warm.  ,"Bath, water, warm",
20,20,3,She injured four of her fingers.  ,"Injured, four, fingers",
20,20,4,He paid his bill in full.  ,"Paid, bill, full",
20,20,5,They stared at a picture.  ,"Stared, picture",
20,20,6,A driver started a car.  ,"Driver, started, car",
20,20,7,A truck carries fresh fruit.  ,"Truck, fresh, fruit",
15,2,1,A boy ran down a path. ,"Boy, ran, path",
15,2,2,Flowers grow in a garden. ,"Flowers, grow, garden",
15,2,3,Strawberry jam was sweet.  ,"Strawberry, jam, sweet",
15,2,4,A shop closes for lunch.  ,"Shop, closes, lunch",
15,2,5,The police helped a driver.  ,"Police, helped, driver",
15,2,6,She looked in her mirror.  ,"Looked, mirror",
15,2,7,A match fell on a floor.  ,"Match, fell, floor",
10,16,1,He played with his toy train.  ,"Played, toy, train",
10,16,2,They’re watching a cuckoo clock.  ,"Watching, cuckoo, clock",
10,16,3,Potatoes grow in the ground.  ,"Potatoes, grow, ground",
10,16,4,A girl ran along a fence.  ,"Girl, ran, fence",
10,16,5,A dog jumped on a chair.  ,"Dog, jumped, chair",
10,16,6,They finished dinner on time.  ,"Finished, dinner, time",
10,16,7,He got mud on his shoes.  ,"Mud, shoes",
5,19,1,A painter uses a brush.  ,"Painter, uses, brush",
5,19,2,A family bought a house.  ,"Family, bought, house",
5,19,3,Swimmers can hold their breath.  ,"Swimmers, hold, breath",
5,19,4,She cut a steak with her knife.  ,"Cut, steak, knife",
5,19,5,They’re pushing an old car.  ,"Pushing, old, car",
5,19,6,The food was expensive.  ,"Food, expensive",
5,19,7,The children were walking home.  ,"Children, walking, home",
0,25,1,The boy slipped on the stairs.,"Boy, slipped, stairs",
0,25,2,New neighbours are moving in.,"New, neighbours, moving",
0,25,3,The girl caught a head cold.,"caught, head, cold",
0,25,4,His father will come home soon.,"Father, home, soon",
0,25,5,The bus stopped suddenly.,"Bus, stopped, suddenly",
0,25,6,He is washing his car.,"Washing, car",
0,25,7,The cat caught a little mouse.,"Cat, little, mouse",
